x,y,z,dist,time,stochastic_delay,total_time,cum_delay
-84,509,2733,5542,41,0,41,630
570,4946,430,4577,38,0,38,630
247,1680,1335,3813,36,0,36,630
-42,297,1855,5178,40,0,40,630
181,222,239,5038,40,0,40,630
521,3702,860,3319,34,0,34,630
-91,4398,2138,4005,37,0,37,630
538,1706,731,3906,36,0,36,630
587,4382,1645,4365,38,0,38,630
295,1505,2724,4918,39,0,39,630
198,1371,1819,4322,37,0,37,630
589,3109,2627,3751,36,0,36,630
-22,2671,976,2429,32,0,32,630
502,-15,763,5596,41,0,41,630
203,813,632,4454,38,0,38,630
313,3189,1328,2745,33,0,33,630
511,1208,2338,5141,40,0,40,630
157,2971,675,2254,31,0,31,630
232,3291,2741,3664,35,0,35,630
-74,4788,1953,4291,37,0,37,630
173,2264,351,2975,33,0,33,630
425,3479,422,2965,33,0,33,630
38,4043,885,3182,34,0,34,630
577,88,34,5608,41,0,41,630
325,906,1490,4735,39,0,39,630
527,4193,2170,4440,38,0,38,630
199,113,2438,5997,42,0,42,630
74,959,2222,4871,39,0,39,630
21,3009,215,2112,31,0,31,630
571,531,2676,6131,43,0,43,630
189,2734,545,2515,32,0,32,630
-75,4345,2735,4407,38,0,38,630
-87,593,1554,4668,39,0,39,630
-46,1283,1908,4220,37,0,37,630
522,2915,218,2689,33,0,33,630
295,1065,2271,5020,40,0,40,630
513,4913,1994,5029,40,0,40,630
418,251,879,5266,40,0,40,630
299,-92,2234,6155,43,0,43,630
597,3933,693,3600,35,0,35,630
579,802,985,4901,39,0,39,630
398,4558,1193,4146,37,0,37,630
276,2034,2069,3894,36,0,36,630
471,3035,1495,2825,33,0,33,630
333,4671,1824,4502,38,0,38,630
515,3236,1773,3219,34,0,34,630
156,3672,1292,3056,34,0,34,630
163,4671,2462,4763,39,0,39,630
168,922,2712,5365,41,0,41,630
590,3848,1867,3962,36,0,36,630
-62,-93,1683,5448,41,0,41,630
542,2274,1632,3657,35,0,35,630
16,3234,2246,3023,34,0,34,630
248,3717,318,3034,34,0,34,630
-69,2044,2453,3809,36,0,36,630
112,3535,2014,3263,34,0,34,630
588,252,1105,5496,41,0,41,630
14,1074,478,4000,36,70,106,700
486,1739,2131,4441,38,0,38,700
-3,617,338,4447,38,0,38,700
316,613,931,4814,39,0,39,700
504,3693,2358,4050,37,0,37,700
334,2513,2702,3932,36,0,36,700
505,1908,248,3674,36,0,36,700
-71,3583,155,2605,32,0,32,700
184,712,1586,4837,39,0,39,700
203,3044,1172,2429,32,0,32,700
119,594,60,4638,38,0,38,700
175,2926,1855,2766,33,0,33,700
320,1959,2748,4508,38,0,38,700
334,4908,2507,5204,40,0,40,700
249,2292,2453,3879,36,0,36,700
-62,4558,423,3557,35,0,35,700
533,1428,1623,4489,38,0,38,700
128,1826,2453,4224,37,0,37,700
126,1605,444,3581,35,0,35,700
-31,1304,1379,3930,36,0,36,700
74,1133,204,4025,37,0,37,700
-88,1291,273,3695,36,0,36,700
4,2597,2304,3221,34,0,34,700
81,4152,259,3309,34,0,34,700
287,3028,221,2396,32,0,32,700
376,2142,190,3320,34,0,34,700
278,545,2118,5418,41,0,41,700
205,3065,2728,3401,35,0,35,700
581,4537,2376,4984,39,160,199,860
-61,4287,1558,3576,35,0,35,860
552,981,2685,5669,42,0,42,860
595,2145,726,3524,35,0,35,860
194,1853,673,3409,35,0,35,860
212,3915,1223,3328,34,0,34,860
270,160,1992,5712,42,0,42,860
590,2724,1923,3424,35,0,35,860
345,4131,2414,4369,38,0,38,860
40,4647,2245,4459,38,0,38,860
573,-73,243,5724,42,0,42,860
344,1357,1230,4190,37,0,37,860
574,3674,1157,3425,35,0,35,860
141,3839,1949,3555,35,0,35,860
417,2092,2541,4313,37,0,37,860
-83,4912,554,3889,36,0,36,860
305,2188,1703,3545,35,0,35,860
-95,3126,2001,2639,32,0,32,860
-98,467,2107,5113,40,0,40,860
90,3198,630,2352,32,70,102,930
376,1064,2056,4956,39,0,39,930
-45,1760,2304,4009,37,0,37,930
270,3007,2039,2910,33,0,33,930
112,125,1246,5197,40,0,40,930
334,1476,2079,4517,38,0,38,930
264,4897,202,4245,37,0,37,930
410,3780,1601,3562,35,0,35,930
252,1737,1085,3668,36,0,36,930
182,2839,2615,3387,35,60,95,990
10,3321,1467,2636,32,0,32,990
-39,2423,1763,3000,33,0,33,990
294,2484,841,2902,33,0,33,990
372,3110,885,2583,32,0,32,990
541,3920,211,3544,35,0,35,990
55,2158,2713,4017,37,0,37,990
561,15,1365,5805,42,0,42,990
-77,1979,59,3057,34,20,54,1010
375,1867,1705,3937,36,0,36,1010
478,4183,1101,3819,36,70,106,1080
-60,2383,115,2658,32,0,32,1080
-14,1526,109,3562,35,0,35,1080
575,80,1768,5960,42,20,62,1100
-95,433,2427,5375,41,0,41,1100
-37,2205,478,2818,33,0,33,1100
7,2176,971,2952,33,0,33,1100
80,1967,884,3213,34,0,34,1100
530,1134,1526,4730,39,0,39,1100
492,3249,2374,3605,35,0,35,1100
349,464,1353,5138,40,0,40,1100
206,4071,458,3337,35,0,35,1100
532,587,440,5006,40,0,40,1100
256,1234,2704,5135,40,0,40,1100
268,4019,1033,3425,35,0,35,1100
541,3660,2673,4289,37,0,37,1100
-86,4874,1616,4168,37,0,37,1100
94,2258,1432,3125,34,0,34,1100
137,3504,1535,2980,33,0,33,1100
-79,4411,1340,3580,35,0,35,1100
390,1862,2452,4449,38,0,38,1100
358,132,1582,5589,41,0,41,1100
52,1946,1913,3658,35,0,35,1100
289,3402,1813,3182,34,0,34,1100
-11,1760,12,3354,35,0,35,1100
-22,2281,2253,3475,35,0,35,1100
520,1301,1058,4364,38,0,38,1100
296,1993,423,3364,35,0,35,1100
427,549,2380,5746,42,0,42,1100
551,2939,876,2711,33,0,33,1100
177,3881,2725,4187,37,70,107,1170
489,4928,1567,4772,39,0,39,1170
584,1804,27,3901,36,0,36,1170
156,1017,721,4212,37,0,37,1170
487,1564,1297,4153,37,0,37,1170
274,3764,718,3111,34,0,34,1170
-81,701,2263,5003,40,0,40,1170
205,4329,2532,4515,38,0,38,1170
219,-63,862,5378,41,0,41,1170
174,1598,1640,3969,36,0,36,1170
65,2410,857,2750,33,0,33,1170
-89,4634,1286,3770,36,0,36,1170
51,-94,2116,5829,42,0,42,1170
239,4117,1720,3793,36,0,36,1170
9,4676,2716,4807,39,0,39,1170
20,3965,576,3046,34,0,34,1170
324,4765,11,4214,37,0,37,1170
583,4649,1054,4376,38,0,38,1170
96,3031,1381,2393,32,0,32,1170
-76,1191,2288,4535,38,0,38,1170
57,599,1015,4591,38,0,38,1170
298,4899,725,4271,37,0,37,1170
501,1609,2648,4961,39,20,59,1190
549,3473,964,3141,34,0,34,1190
164,2821,2289,3146,34,0,34,1190
152,950,1140,4373,38,0,38,1190
220,4897,1099,3775,36,0,36,1190
454,200,404,5316,40,0,40,1190
261,353,1750,5363,41,70,111,1260
109,4741,54,3965,36,0,36,1260
565,4486,823,4140,37,0,37,1260
397,143,2178,5980,42,0,42,1260
-63,1836,488,3161,34,0,34,1260
349,1355,612,4057,37,20,57,1280
-41,3619,1703,3006,34,0,34,1280
89,3896,1034,3123,34,0,34,1280
296,955,1742,4791,39,0,39,1280
592,2638,2690,4056,37,0,37,1280
431,2676,190,2841,33,0,33,1280
300,-92,1282,5616,41,0,41,1280
424,2785,566,2700,33,0,33,1280
556,2914,2500,3599,35,0,35,1280
385,182,2638,6264,43,0,43,1280
560,3689,413,3311,34,0,34,1280
3,678,551,4385,38,0,38,1280
160,-75,671,5303,40,0,40,1280
410,3,1963,5991,42,0,42,1280
276,411,213,4947,39,0,39,1280
68,4128,1388,3465,35,0,35,1280
595,2793,4,2929,33,0,33,1280
569,524,1201,5238,40,0,40,1280
196,3186,381,2445,32,0,32,1280
135,3548,1805,3170,34,0,34,1280
-79,143,755,4856,39,0,39,1280
584,600,1945,5556,41,0,41,1280
210,753,2300,5268,40,0,40,1280
595,32,454,5623,41,0,41,1280
85,4523,24,3730,36,0,36,1280
-74,1191,807,3821,36,0,36,1280
327,1468,1517,4189,37,0,37,1280
582,3159,328,2809,33,0,33,1280
-82,2777,1647,2538,32,0,32,1280
79,433,1632,5035,40,0,40,1280
184,2672,1063,2658,32,0,32,1280
23,4359,856,3477,35,0,35,1280
549,1696,1617,4234,37,0,37,1280
326,1559,519,3827,36,0,36,1280
72,2520,2505,3513,35,0,35,1280
68,-93,1184,5347,41,0,41,1280
50,1409,780,3722,36,0,36,1280
279,1209,1054,4214,37,0,37,1280
-84,2888,2741,3169,34,0,34,1280
348,1735,855,3708,36,0,36,1280
305,4752,955,4174,37,0,37,1280
88,3610,812,2785,33,0,33,1280
327,399,1041,5068,40,0,40,1280
276,3606,2178,3608,35,0,35,1280
429,790,2360,5493,41,0,41,1280
56,1663,759,3471,35,160,195,1440
20,3536,578,2617,32,0,32,1440
527,4176,111,3805,36,0,36,1440
583,231,1357,5607,41,0,41,1440
544,2509,629,3099,34,0,34,1440
168,4648,537,3876,36,0,36,1440
599,2563,2141,3737,36,20,56,1460
456,385,2523,6045,43,0,43,1460
-87,1516,1839,3904,36,0,36,1460
166,274,594,4954,39,0,39,1460
507,2920,2026,3211,34,0,34,1460
552,4294,2356,4697,39,0,39,1460
314,3426,2546,3731,36,0,36,1460
-62,130,121,4907,39,0,39,1460
-3,1788,1138,3379,35,0,35,1460
340,2379,169,3051,34,0,34,1460
-55,4587,1931,4095,37,0,37,1460
190,2535,1957,3235,34,0,34,1460
417,3399,1354,3070,34,0,34,1460
185,1928,1310,3492,35,0,35,1460
166,-94,422,5321,40,160,200,1620
360,835,2716,5647,41,0,41,1620
347,2718,2454,3552,35,0,35,1620
259,3989,2143,3950,36,0,36,1620
25,1778,932,3358,35,0,35,1620
-22,2532,443,2506,32,0,32,1620
-49,2536,1280,2638,32,0,32,1620
163,115,27,5169,40,0,40,1620
-95,4312,360,3282,34,0,34,1620
419,1186,861,4329,37,0,37,1620
59,-9,2692,6171,43,0,43,1620
312,-61,2476,6312,43,0,43,1620
-50,1788,1400,3436,35,0,35,1620
374,2133,1356,3496,35,70,105,1690
363,2356,1018,3140,34,0,34,1690
453,1445,2466,4940,39,0,39,1690
273,-58,1505,5655,41,0,41,1690
591,3236,1019,2961,33,0,33,1690
203,2492,1581,3073,34,0,34,1690
356,1710,372,3710,36,0,36,1690
518,912,1237,4812,39,0,39,1690
-80,2634,1811,2776,33,0,33,1690
341,3853,38,3312,34,0,34,1690
412,3604,244,3094,34,0,34,1690
283,2455,2125,3518,35,0,35,1690
198,604,2559,5595,41,0,41,1690
380,4152,372,3596,35,0,35,1690
458,1837,1161,3799,36,0,36,1690
406,2663,1693,3165,34,0,34,1690
368,881,100,4591,38,0,38,1690
47,4080,2200,3868,36,0,36,1690
347,4537,2144,4587,38,0,38,1690
540,3349,14,3014,34,0,34,1690
334,4753,2035,4717,39,0,39,1690
473,3429,2743,4045,37,0,37,1690
155,1683,2640,4535,38,0,38,1690
24,3316,1232,2544,32,0,32,1690
492,4632,474,4184,37,0,37,1690
207,3164,4,2498,32,0,32,1690
514,3264,581,2839,33,0,33,1690
-74,4629,168,3645,35,0,35,1690
464,2051,1594,3782,36,0,36,1690
493,796,2055,5340,41,0,41,1690
180,2033,208,3230,34,0,34,1690
555,2386,270,3243,34,0,34,1690
592,537,102,5158,40,0,40,1690
581,4562,26,4265,37,0,37,1690
231,4486,167,3807,36,0,36,1690
-38,4212,2073,3829,36,0,36,1690
258,235,1392,5293,40,0,40,1690
279,4354,2728,4764,39,0,39,1690
-63,1772,1846,3676,36,0,36,1690
-4,2971,419,2086,31,0,31,1690
462,4558,279,4093,37,0,37,1690
246,2096,637,3215,34,0,34,1690
217,2814,1574,2761,33,0,33,1690
517,4860,2396,5257,40,20,60,1710
12,2960,2547,3044,34,0,34,1710
-55,3627,2461,3500,35,0,35,1710
572,1868,451,3764,36,0,36,1710
430,3172,1143,2774,33,0,33,1710
-95,3906,1593,3179,34,0,34,1710
505,641,1605,5239,40,0,40,1710
593,3638,1603,3605,35,0,35,1710
206,1288,2509,4882,39,0,39,1710
269,3293,624,2626,32,60,92,1770
486,4115,2623,4651,38,0,38,1770
291,4257,1448,3844,36,0,36,1770
164,2156,1204,3202,34,0,34,1770
286,4259,567,3606,35,0,35,1770
-96,1282,2737,4760,39,0,39,1770
95,3241,875,2435,32,0,32,1770
147,1034,2444,5028,40,0,40,1770
293,4286,1969,4166,37,20,57,1790
239,4687,1198,4117,37,0,37,1790
-66,1571,398,3425,35,0,35,1790
200,1508,185,3779,36,0,36,1790
