x,y,z,time,stochastic_delay,total_time
348,4448,785,39,0,39
261,4507,1576,40,0,40
-11,4855,1414,41,0,41
72,4056,1144,38,0,38
313,572,1927,39,0,39
176,3056,939,34,0,34
227,4680,2721,42,0,42
377,3855,1141,37,0,37
-84,1305,2139,37,0,37
230,224,2734,42,0,42
440,1691,122,36,0,36
560,1515,2049,36,0,36
141,114,733,41,0,41
356,735,1560,38,0,38
439,3824,2253,38,0,38
-68,4569,1541,40,0,40
-79,2544,2736,37,0,37
510,2060,347,35,0,35
-90,2987,2163,36,0,36
298,1967,988,33,0,33
201,598,703,39,0,39
416,290,1695,40,0,40
162,4934,27,43,0,43
-37,-20,654,42,0,42
545,1146,2576,39,0,39
26,706,1679,39,0,39
146,1072,996,37,0,37
129,2445,1266,32,0,32
432,891,835,38,0,38
79,4825,724,41,0,41
202,3903,541,38,0,38
569,2494,826,32,0,32
462,4012,2148,38,0,38
352,4,424,42,0,42
104,2018,2180,35,0,35
284,1606,10,37,0,37
506,3445,2202,37,0,37
497,1404,281,37,0,37
574,2921,2672,37,0,37
-65,4269,2511,40,0,40
401,2849,1243,32,0,32
132,-74,2314,43,0,43
138,1673,28,37,0,37
199,360,383,40,0,40
-78,2751,5,37,0,37
445,4253,1596,39,0,39
88,2405,2705,37,0,37
376,3612,964,36,0,36
374,541,1142,39,1000,1039
7,1343,141,38,0,38
-51,2091,274,36,0,36
98,3484,2190,37,0,37
596,3300,1362,34,0,34
391,3925,1919,38,0,38
37,4899,2358,42,0,42
423,292,1493,40,0,40
401,704,504,39,0,39
331,305,2126,41,0,41
-62,934,1033,38,0,38
-75,4901,2688,43,0,43
110,319,1036,40,0,40
475,1327,2046,37,0,37
259,3647,1917,37,0,37
402,2289,703,33,0,33
488,4153,1302,38,0,38
380,3254,748,35,0,35
289,1213,1952,37,0,37
125,2124,1696,33,0,33
-45,3694,1277,36,0,36
-73,2288,835,34,0,34
-50,1077,670,37,0,37
424,1154,384,37,0,37
570,2207,1841,33,0,33
281,4108,1548,38,0,38
96,4149,679,39,0,39
524,1745,323,36,0,36
374,61,906,41,0,41
438,462,324,40,0,40
65,4296,1228,39,0,39
319,938,339,38,0,38
209,2968,475,35,0,35
-84,2199,1252,33,0,33
185,126,1799,41,0,41
364,2572,1345,31,0,31
403,2792,2188,35,0,35
66,612,1192,39,0,39
497,134,617,41,0,41
255,2349,2732,37,0,37
55,3798,1448,37,0,37
350,2597,39,36,0,36
333,1208,2147,37,0,37
106,2072,1440,33,0,33
77,4630,1201,40,0,40
-23,222,551,41,0,41
597,3485,1838,36,0,36
598,2670,942,32,0,32
-77,1751,2522,37,0,37
497,3076,743,34,120,154
223,1326,1361,36,0,36
175,2931,2441,36,0,36
-96,1046,1335,37,0,37
-88,3920,2178,39,0,39
575,4260,1891,39,0,39
160,2692,2448,36,0,36
544,3141,2196,36,0,36
14,1683,575,35,0,35
434,4516,1873,40,0,40
-99,3724,12,39,0,39
574,439,1383,39,0,39
559,1856,1710,34,0,34
104,2894,1712,34,0,34
333,1668,2198,36,0,36
69,2786,290,35,0,35
388,3131,371,35,0,35
-56,3548,1895,37,0,37
591,3849,1525,37,0,37
599,683,1750,39,0,39
-22,4511,792,40,0,40
392,3522,2426,37,0,37
546,-66,2311,42,0,42
313,899,2222,39,0,39
387,3450,1027,35,0,35
572,3936,1704,37,0,37
454,222,171,41,0,41
484,729,27,40,0,40
24,4445,1872,40,0,40
377,3219,1930,35,0,35
546,4448,2683,41,0,41
384,136,1789,41,0,41
131,1413,970,35,0,35
231,3732,2332,38,0,38
335,889,1182,37,0,37
41,3450,2597,38,0,38
69,461,219,40,0,40
-76,4278,1017,39,0,39
197,4081,1984,38,0,38
582,1347,105,37,0,37
65,600,2185,40,0,40
381,2310,11,36,0,36
574,1104,1337,36,0,36
-96,437,322,41,0,41
365,152,2395,42,0,42
-65,1850,1680,35,0,35
337,2598,1538,32,600,632
581,3788,20,38,0,38
-17,1035,2736,40,0,40
131,3746,2117,38,0,38
591,774,535,38,0,38
556,4900,2232,42,0,42
78,2753,1325,33,0,33
389,4244,2096,39,0,39
-63,377,1562,40,0,40
591,3435,453,36,0,36
274,1693,708,35,0,35
363,2950,709,34,0,34
578,2740,1714,33,120,153
250,4576,874,40,0,40
341,4000,2704,40,0,40
365,1453,976,35,0,35
-60,-88,213,43,0,43
0,1598,1133,35,0,35
336,1336,7,38,0,38
438,2279,1167,31,0,31
595,1445,538,36,0,36
227,798,1121,38,0,38
190,3288,1339,34,0,34
550,4935,2563,43,0,43
-68,3336,861,35,0,35
-27,40,2513,43,0,43
582,2871,430,35,0,35
151,4230,1634,39,0,39
11,2311,2093,35,0,35
219,1347,794,36,0,36
204,1527,881,35,0,35
491,2042,515,34,0,34
234,2591,593,34,0,34
-21,2497,994,33,0,33
586,1398,1449,35,0,35
300,4304,2331,40,0,40
206,200,401,41,0,41
492,2417,2738,37,0,37
257,1435,2430,37,0,37
149,-36,207,42,0,42
129,109,1443,41,0,41
377,19,1137,41,0,41
567,3222,1549,34,0,34
417,3978,626,38,0,38
418,3721,513,37,0,37
558,1972,734,34,0,34
96,4394,2686,41,0,41
272,441,2473,41,0,41
291,2451,1211,31,0,31
-35,125,1677,41,0,41
201,3363,185,37,0,37
118,2615,778,33,0,33
589,448,1884,40,0,40
213,1865,2293,36,0,36
-21,2893,1452,34,0,34
55,692,713,39,0,39
101,2571,1166,32,0,32
396,1963,1272,33,0,33
332,4418,1229,39,0,39
146,265,2535,42,0,42
419,1353,1749,36,0,36
-16,386,2244,41,0,41
240,2205,1467,32,0,32
345,783,235,39,0,39
68,3073,1961,35,0,35
573,1713,1080,34,0,34
317,2725,1163,32,0,32
325,3498,1685,36,0,36
292,1197,640,37,0,37
94,1363,1973,36,0,36
245,431,2254,40,0,40
590,674,858,38,0,38
533,-99,1829,42,0,42
-57,838,1637,38,0,38
199,848,144,39,0,39
436,1185,2708,39,0,39
203,3697,2590,39,0,39
170,4696,757,41,0,41
426,2658,2723,37,0,37
394,1264,2541,38,0,38
-45,2381,2409,36,0,36
